sn,text,neutral,hate_speech,threatning,offensive,harassment
1,"Even if Harke says 2 + 2 = 4  Xetry bahun and ghantey still say, “no no , that’s wrong.”",1,0,0,0,0
2,Dhanpati Chaulagain Dada Nepali ma Bhannu ta,1,0,0,0,0
3,Lalit Panday Badar ley Pani yesto hamro samsad bata nei sikeko horey bidangsha machauna,0,0,0,1,0
4,"kinaki tero harke le 2+2=5 vanxa
u sabai vanda thulo manxe ho ni tw",0,0,0,1,0
5,teti pdeko xa harke le?,1,0,0,0,0
6,tyo chai ho harkale yesto harkat dekhai sakyo ki aba usle sahi vanex vane pani patyauna garo xa malai,1,0,0,0,0
7, Tero baule vanek mg sala harkeko ko gulla kha gayera,0,0,0,1,0
8,Aru chij ta xoto hunxa thaxa tra bhotey ko dimag ni xoto huney raicha,0,1,0,0,0
9,afno identity nai lukaune ko k kura garnuu fake id bata bolera chumchum,0,0,0,1,0
10,ta randiko xoro madarchut tero papa lai gayarw bhaan mg khate,0,0,0,1,0
11,Kukur haru,0,0,0,0,1
12,"Laj Pani lajjayo hola aba ta
Chya Veda Haru",0,0,0,0,1
13,Aajkal ta movie pani herna man lagdaina,1,0,0,0,0
14,Saroj Shrestha splitsvillaa bhaneko english word hoki k ho ksm malai kasaile bujaau ta,1,0,0,0,0
15,Ishwor Neupane aauta main geda na vako veda ta timi hota kaka,0,0,0,1,0
16,Sanjok Khadka khai ta mastira aako,1,0,0,0,0
17,Kehi Yuwa Haina K Jholey Hola K,0,0,0,1,0
18,Asti samma American VAnne haru aaba indian vanne holan,1,0,0,0,0
19,Garxan ni,1,0,0,0,0
20,Garne ho,1,0,0,0,0
21,Yesko talab rokka gariyos todhfod garne arazak aimai ko thuikkka,0,0,0,1,0
22,Bheda haru,0,0,0,0,1
23,Ipl miss vayo yata ko roilo le gardatara Dubai tarfa maja aayo j hos,1,0,0,0,0
24,Desh chaldina uha sanga Pani bujhi sake,1,0,0,0,0
25,Yuba haina guu khane hola,0,0,0,1,0
26,Kam xaina teniharu ko,1,0,0,0,0
27,Nepali ho ni,1,0,0,0,0
28,Kehi yuba vanda ni 20-30 jana yuba vanda ramro hola ki??,1,0,0,0,0
29,Kartik aauna lageko vayera ho kiii,1,0,0,0,0
